Year,Month,Temperature
2005,Jul,73
2005,Aug,72
2005,Sep,70
2005,Oct,68
2005,Nov,63
2005,Dec,55
2006,Jan,55
2006,Feb,59
2006,Mar,61
2006,Apr,63
2006,May,63
2006,Jun,66
2006,Jul,73
2006,Aug,72
2006,Sep,70
2006,Oct,68
2006,Nov,63
2006,Dec,55
2007,Jan,55
2007,Feb,59
2007,Mar,61
2007,Apr,63
2007,May,63
2007,Jun,66
2007,Jul,73
2007,Aug,72
2007,Sep,70
2007,Oct,68
2007,Nov,63
2007,Dec,55
2008,Jan,55
2008,Feb,59
2008,Mar,61
2008,Apr,63
2008,May,63
2008,Jun,66
2008,Jul,73
2008,Aug,72
2008,Sep,70
2008,Oct,68
2008,Nov,63
2008,Dec,55
2009,Jan,55
2009,Feb,59
2009,Mar,61
2009,Apr,63
2009,May,63
2009,Jun,66
2009,Jul,73
2009,Aug,72
2009,Sep,70
2009,Oct,68
2009,Nov,63
2009,Dec,55
2010,Jan,55
2010,Feb,59
2010,Mar,61
2010,Apr,63
2010,May,63
2010,Jun,66
2010,Jul,73
2010,Aug,72
2010,Sep,70
2010,Oct,68
2010,Nov,63
2010,Dec,55
2011,Jan,55
2011,Feb,59
2011,Mar,61
2011,Apr,63
2011,May,63
2011,Jun,66
2011,Jul,73
2011,Aug,72
2011,Sep,70
2011,Oct,68
2011,Nov,63
2011,Dec,55
2012,Jan,55
2012,Feb,59
2012,Mar,61
2012,Apr,63
2012,May,63
2012,Jun,66
2012,Jul,73
2012,Aug,72
2012,Sep,70
2012,Oct,68
2012,Nov,63
2012,Dec,55
2013,Jan,55
2013,Feb,59
2013,Mar,61
2013,Apr,63
2013,May,63
2013,Jun,66
2013,Jul,73
2013,Aug,72
2013,Sep,70
2013,Oct,68
2013,Nov,63
2013,Dec,55
2014,Jan,55
2014,Feb,59
2014,Mar,61
2014,Apr,63
2014,May,63
2014,Jun,66
2014,Jul,73
2014,Aug,72
2014,Sep,70
2014,Oct,68
2014,Nov,63
2014,Dec,55
2015,Jan,55
2015,Feb,59
2015,Mar,61
2015,Apr,63
2015,May,63
2015,Jun,66
2015,Jul,73
2015,Aug,72
2015,Sep,70
2015,Oct,68
2015,Nov,63
2015,Dec,55
2016,Jan,55
2016,Feb,59
2016,Mar,61
2016,Apr,63
2016,May,63
2016,Jun,66
2016,Jul,73
2016,Aug,72
2016,Sep,70
2016,Oct,68
2016,Nov,63
2016,Dec,55
2017,Jan,55
2017,Feb,59
2017,Mar,61
2017,Apr,63
2017,May,63
2017,Jun,66
2017,Jul,73
2017,Aug,72
2017,Sep,70
2017,Oct,68
2017,Nov,63
2017,Dec,55
2018,Jan,55
2018,Feb,59
2018,Mar,61
2018,Apr,63
2018,May,63
2018,Jun,66
2018,Jul,73
2018,Aug,72
2018,Sep,70
2018,Oct,68
2018,Nov,63
2018,Dec,55
2019,Jan,55
2019,Feb,59
2019,Mar,61